NOMPROV;ORGANIZACION;NIVEL;SLA;HORARIO;MES;ANIO;NUM_INCIDENTE;FECHA_INI;FECHA_FIN;GRUPO;PRIORIDAD;ESTADO;SUBESTADO;FECHA_REAPERTURA;IMPACTO;MINUTOSHAB;STATUS_ACTUAL;FECHACREACION;PROVEEDOR;PERIODO;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007401588;24/09/2024 15:51:14;28/02/2025 23:59:59;N2_DEVOPS_PCRM_TEF;Baja;Pendiente;NO;;Bajo;0;Cerrado;24/09/2024 13:35:30;44;02_2025;
NTTDATA;NTTDAATA N3;3;4800;L a V 8 a 18;2;2025;INC000007404956;27/09/2024 12:32:29;28/02/2025 23:59:59;N3_EVERIS_WEBAPO;Baja;Pendiente;NO;;Bajo;0;Cerrado;27/09/2024 11:51:22;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007414190;10/10/2024 13:57:11;28/02/2025 23:59:59;N2_TIENDA_EVERIS;Critica;Pendiente;NO;;Alto;0;Cerrado;10/10/2024 13:51:25;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007418624;10/10/2024 14:31:25;28/02/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Critica;Pendiente;NO;;Alto;0;Pendiente;10/10/2024 10:14:57;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007418896;10/10/2024 13:57:21;28/02/2025 23:59:59;N2_TIENDA_EVERIS;Critica;Pendiente;NO;;Alto;0;Cerrado;10/10/2024 13:47:39;44;02_2025;
NTTDATA;NTTDAATA N3;3;4800;L a V 8 a 18;2;2025;INC000007470744;05/12/2024 18:18:53;28/02/2025 23:59:59;N3_EVERIS_WEBAPO;Baja;Pendiente;NO;;Bajo;0;Pendiente;29/11/2024 17:17:54;44;02_2025;
NTTDATA;NTTDAATA N3;3;4800;L a V 8 a 18;2;2025;INC000007476197;05/12/2024 17:49:43;28/02/2025 23:59:59;N3_EVERIS_WEBAPO;Baja;Pendiente;NO;;Bajo;0;Pendiente;04/12/2024 09:48:58;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007480553;09/12/2024 11:12:53;28/02/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Critica;Pendiente;NO;;Critico;0;Pendiente;09/12/2024 10:31:40;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007484723;11/12/2024 17:53:14;17/02/2025 18:06:06;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Critico;0;Resuelto;11/12/2024 16:26:54;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007531833;08/01/2025 17:33:54;06/02/2025 11:14:51;N2_DEVOPS_PCRM_TEF;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;08/01/2025 13:14:59;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007541001;16/01/2025 10:05:06;17/02/2025 12:21:57;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;15/01/2025 13:02:58;44;02_2025;
NTTDATA;NTTDATA N2;2;1440;L a V 8 a 20;2;2025;INC000007542485;16/01/2025 14:50:00;28/02/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Critico;0;Pendiente;16/01/2025 14:34:28;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007543527;21/01/2025 07:57:57;28/02/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Cerrado;17/01/2025 12:01:05;44;02_2025;
NTTDATA;NTTDATA N2;2;1440;L a V 8 a 20;2;2025;INC000007546159;20/01/2025 12:35:19;28/02/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Critico;0;Cerrado;20/01/2025 11:19:53;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007546675;21/01/2025 09:43:49;07/02/2025 09:55:19;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;20/01/2025 16:31:39;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007549862;22/01/2025 18:04:43;07/02/2025 09:55:40;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;22/01/2025 17:41:37;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007549947;23/01/2025 09:47:09;07/02/2025 09:56:01;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;22/01/2025 20:39:36;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007550475;23/01/2025 13:00:18;07/02/2025 09:56:20;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;23/01/2025 10:06:41;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007552609;27/01/2025 18:06:28;07/02/2025 09:56:48;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;24/01/2025 19:51:07;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007554384;27/01/2025 17:28:42;05/02/2025 11:36:53;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;27/01/2025 17:05:42;44;02_2025;
NTTDATA;NTTDAATA N3;3;4800;L a V 8 a 18;2;2025;INC000007555265;28/01/2025 18:52:49;28/02/2025 23:59:59;N3_EVERIS_WEBAPO;Baja;Pendiente;NO;;Bajo;0;Cerrado;28/01/2025 11:24:43;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007555956;28/01/2025 18:16:25;17/02/2025 12:23:02;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;28/01/2025 17:34:06;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007556628;29/01/2025 14:57:48;17/02/2025 12:23:48;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;29/01/2025 13:31:06;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007556765;29/01/2025 14:58:24;17/02/2025 15:34:43;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;29/01/2025 13:45:02;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007557882;30/01/2025 12:16:59;04/02/2025 10:21:34;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;30/01/2025 12:02:00;44;02_2025;
NTTDATA;NTTDATA N2;2;1440;L a V 8 a 20;2;2025;INC000007558124;30/01/2025 15:36:51;17/02/2025 18:08:17;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Critico;0;Cerrado;30/01/2025 14:52:06;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007559006;31/01/2025 13:57:39;17/02/2025 15:35:34;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;31/01/2025 11:40:47;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007559465;31/01/2025 16:16:18;05/02/2025 11:38:16;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;31/01/2025 16:05:03;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007559582;31/01/2025 16:31:41;05/02/2025 09:57:21;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;31/01/2025 16:29:06;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007559698;31/01/2025 19:05:50;03/02/2025 10:11:21;N2_EVERIS_MIMOVISTAR;Baja;Asignado;NO;;Bajo;731;Cerrado;31/01/2025 19:03:21;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007559698;03/02/2025 10:11:22;03/02/2025 18:13:02;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;31/01/2025 19:03:21;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007559880;31/01/2025 22:05:50;03/02/2025 09:01:42;N2_EVERIS_MIMOVISTAR;Baja;Asignado;NO;;Bajo;661;Pendiente;31/01/2025 22:02:31;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007559880;03/02/2025 09:01:43;28/02/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Pendiente;31/01/2025 22:02:31;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007560298;01/02/2025 09:41:46;01/02/2025 10:31:20;N2_TIENDA_EVERIS;Critica;Resolved;NO;;Alto;50;Cerrado;01/02/2025 09:41:46;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007560502;01/02/2025 12:41:44;01/02/2025 12:44:44;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;3;Cerrado;01/02/2025 12:41:44;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007560502;01/02/2025 12:44:45;01/02/2025 23:00:09;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;01/02/2025 12:41:44;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007560634;01/02/2025 14:20:57;03/02/2025 09:37:01;N2_DEVOPS_PCRM_TEF;Baja;Asignado;NO;;Bajo;697;Cerrado;01/02/2025 14:17:42;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007560953;01/02/2025 21:20:48;03/02/2025 08:46:04;N2_EVERIS_MIMOVISTAR;Baja;Asignado;NO;;Bajo;646;Pendiente;01/02/2025 21:15:53;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007560953;03/02/2025 08:46:05;28/02/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Pendiente;01/02/2025 21:15:53;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007560989;01/02/2025 22:31:43;01/02/2025 23:08:14;N2_EVERIS_MIMOVISTAR;Critica;Resolved;NO;;Alto;37;Cerrado;01/02/2025 22:31:43;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007561400;02/02/2025 09:06:44;02/02/2025 09:49:32;N2_TIENDA_EVERIS;Critica;Resolved;NO;;Alto;43;Cerrado;02/02/2025 09:06:44;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007561401;02/02/2025 09:06:49;02/02/2025 09:49:48;N2_TIENDA_EVERIS;Critica;Resolved;NO;;Alto;43;Cerrado;02/02/2025 09:06:49;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007561452;02/02/2025 10:21:44;02/02/2025 11:17:22;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;56;Cerrado;02/02/2025 10:21:44;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007561452;02/02/2025 11:17:23;02/02/2025 22:33:43;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;02/02/2025 10:21:44;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007562363;03/02/2025 10:21:46;03/02/2025 10:50:25;N2_EVERIS_MIMOVISTAR;Critica;Asignado;NO;;Alto;29;Cerrado;03/02/2025 10:21:46;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007562363;03/02/2025 10:50:26;03/02/2025 11:45:31;N2_EVERIS_MIMOVISTAR;Critica;Resolved Pend;NO;;Alto;0;Cerrado;03/02/2025 10:21:46;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007562378;03/02/2025 13:25:23;04/02/2025 14:58:55;N2_EVERIS_MIMOVISTAR;Baja;Asignado;NO;;Bajo;693;Cerrado;03/02/2025 10:35:38;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007562378;04/02/2025 14:58:56;04/02/2025 15:21:12;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Cerrado;03/02/2025 10:35:38;44;02_2025;
NTTDATA;NTTDAATA N3;3;4800;L a V 8 a 18;2;2025;INC000007562378;04/02/2025 15:21:13;04/02/2025 15:29:29;N3_EVERIS_WEBAPO;Baja;Asignado;NO;;Bajo;8;Cerrado;03/02/2025 10:35:38;44;02_2025;
NTTDATA;NTTDAATA N3;3;4800;L a V 8 a 18;2;2025;INC000007562378;04/02/2025 15:29:30;05/02/2025 11:47:10;N3_EVERIS_WEBAPO;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;03/02/2025 10:35:38;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007562468;03/02/2025 11:15:42;03/02/2025 11:19:03;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;4;Cerrado;03/02/2025 11:15:42;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007562468;03/02/2025 11:19:04;03/02/2025 11:24:55;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;03/02/2025 11:15:42;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007562536;03/02/2025 12:05:48;03/02/2025 12:12:54;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;7;Cerrado;03/02/2025 12:05:48;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007562536;03/02/2025 12:12:55;05/02/2025 11:39:34;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;03/02/2025 12:05:48;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007562548;03/02/2025 12:06:11;03/02/2025 12:25:41;N2_DEVOPS_PCRM_TEF;Baja;Asignado;NO;;Bajo;19;Cerrado;03/02/2025 12:04:41;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007562591;03/02/2025 12:51:43;03/02/2025 12:54:15;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;3;Cerrado;03/02/2025 12:51:43;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007562591;03/02/2025 12:54:16;03/02/2025 22:34:33;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;03/02/2025 12:51:43;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007562665;03/02/2025 12:29:31;03/02/2025 12:30:31;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;1;Cerrado;03/02/2025 12:29:31;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007562665;03/02/2025 12:30:32;03/02/2025 12:42:16;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;03/02/2025 12:29:31;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007562739;03/02/2025 13:41:23;04/02/2025 14:59:21;N2_EVERIS_MIMOVISTAR;Baja;Asignado;NO;;Bajo;678;Cerrado;03/02/2025 13:39:46;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007562739;04/02/2025 14:59:22;28/02/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Cerrado;03/02/2025 13:39:46;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007562911;03/02/2025 16:20:38;03/02/2025 16:23:21;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;3;Cerrado;03/02/2025 16:20:38;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007562911;03/02/2025 16:23:22;12/02/2025 17:33:27;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;03/02/2025 16:20:38;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007563332;04/02/2025 09:16:47;04/02/2025 09:17:23;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;1;Cerrado;04/02/2025 09:16:47;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007563332;04/02/2025 09:17:24;04/02/2025 09:22:18;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;04/02/2025 09:16:47;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007563463;04/02/2025 09:42:19;04/02/2025 09:47:04;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;5;Cerrado;04/02/2025 09:42:19;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007563463;04/02/2025 09:47:05;04/02/2025 09:51:32;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;04/02/2025 09:42:19;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007563746;04/02/2025 12:09:17;04/02/2025 12:20:47;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;11;Cerrado;04/02/2025 12:09:17;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007563746;04/02/2025 12:20:48;04/02/2025 12:26:17;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;04/02/2025 12:09:17;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007563847;04/02/2025 12:47:31;04/02/2025 12:55:34;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;8;Cerrado;04/02/2025 12:47:31;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007563847;04/02/2025 12:55:35;05/02/2025 11:41:01;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;04/02/2025 12:47:31;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007564419;05/02/2025 03:31:47;05/02/2025 03:46:30;N2_EVERIS_MIMOVISTAR;Critica;Resolved;NO;;Alto;15;Cerrado;05/02/2025 03:31:47;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007564507;05/02/2025 08:05:51;05/02/2025 09:24:20;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;79;Cerrado;05/02/2025 08:05:51;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007564507;05/02/2025 09:24:21;05/02/2025 10:14:33;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;05/02/2025 08:05:51;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007564880;05/02/2025 14:25:59;05/02/2025 15:34:36;N2_DEVOPS_PCRM_TEF;Baja;Asignado;NO;;Bajo;69;Cerrado;05/02/2025 12:56:38;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007564973;05/02/2025 13:04:32;05/02/2025 13:10:13;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;6;Cerrado;05/02/2025 13:04:32;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007564973;05/02/2025 13:10:14;05/02/2025 13:13:35;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;05/02/2025 13:04:32;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007565115;05/02/2025 16:00:52;05/02/2025 16:23:14;N2_EVERIS_MIMOVISTAR;Baja;Asignado;NO;;Bajo;23;Cerrado;05/02/2025 15:52:27;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007565115;05/02/2025 16:23:15;28/02/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Cerrado;05/02/2025 15:52:27;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007565473;05/02/2025 20:45:49;06/02/2025 10:03:31;N2_EVERIS_MIMOVISTAR;Baja;Asignado;NO;;Bajo;123;Cerrado;05/02/2025 20:42:09;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007565473;06/02/2025 10:03:32;17/02/2025 15:36:17;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;05/02/2025 20:42:09;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007566095;06/02/2025 10:06:46;06/02/2025 10:10:09;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;4;Cerrado;06/02/2025 10:06:46;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007566095;06/02/2025 10:10:10;06/02/2025 10:47:07;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;06/02/2025 10:06:46;44;02_2025;
NTTDATA;NTTDATA N2;2;1440;L a V 8 a 20;2;2025;INC000007566142;06/02/2025 10:53:15;06/02/2025 11:02:39;N2_EVERIS_MIMOVISTAR;Baja;Asignado;NO;;Critico;9;Pendiente;06/02/2025 10:46:52;44;02_2025;
